group,regime,arm,b,chosen,value,ci_lo,ci_hi,b_invariant
"bernoulli n = 10,000,000",β=0.5 cartel,best learned router,3,disrouter_cascade x100,0.8523447102202891,0.8481132409946106,0.8565761794459674,True
"bernoulli n = 10,000,000",β=0.5 cartel,best learned router,1,disrouter_cascade x100,0.8523447102202891,0.8481132409946106,0.8565761794459674,True
"bernoulli n = 10,000,000",honest,best bandit,5,warm_start_bandit[n0=0.5] x100,0.9715774794365132,0.9688235676467805,0.9744735038290631,False
"bernoulli n = 10,000,000",honest,best bandit,3,warm_start_bandit[n0=0.5] x100,0.9668502410891555,0.9640845112035548,0.9695565850430176,False
"bernoulli n = 10,000,000",honest,best bandit,1,warm_start_bandit[n0=0.5] x100,0.9611184645929844,0.9580100099272002,0.9640266025337996,False
"bernoulli n = 10,000,000",β=0.5 cartel,best bandit,5,warm_start_bandit[n0=0.5] x100,0.9466176609624658,0.9438519310768648,0.9493949134915384,False
"bernoulli n = 10,000,000",β=0.5 cartel,best bandit,3,warm_start_bandit[n0=0.5] x100,0.9205705776685258,0.9172139429895055,0.9238563037723364,False
"bernoulli n = 10,000,000",β=0.5 cartel,best bandit,1,warm_start_bandit[n0=0.5] x100,0.8808735936465917,0.8765475796539661,0.8848926325990357,False
"bernoulli n = 10,000,000",honest,declared argmax,-,declared_argmax,0.9941500425451448,0.9911837004821782,0.996880613595537,True
"bernoulli n = 10,000,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.8550865084617566,0.84860989647348,0.8615631204500332,True
"bernoulli n = 10,000,000",honest,random,-,random,0.49364186442280406,0.49003704973054724,0.4973054741420062,True
"bernoulli n = 10,000,000",β=0.5 cartel,random,-,random,0.49364186442280406,0.49003704973054724,0.4973054741420062,True
"RouterBench replay n = 1,000,000",honest,MIDIAN-VA,5,midian_va,0.9834142719114304,0.9800048309994053,0.9868361595031456,False
"RouterBench replay n = 1,000,000",honest,MIDIAN-VA,3,midian_va,0.964174658560151,0.9606133259637736,0.9676641590474706,False
"RouterBench replay n = 1,000,000",honest,MIDIAN-VA,1,midian_va,0.8272232090493689,0.8229689761234708,0.8312750252098005,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN-VA,5,midian_va,0.9824902641649542,0.9790680601322301,0.9859124681976786,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9622422587981149,0.9585121576635683,0.9657907227934568,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN-VA,1,midian_va,0.8215989975148833,0.8156243803030238,0.8271303863533759,False
"RouterBench replay n = 1,000,000",honest,MIDIAN,5,midian,0.9222778689596688,0.9190922573213899,0.9255606279877305,False
"RouterBench replay n = 1,000,000",honest,MIDIAN,3,midian,0.8907561252431321,0.8870346734961665,0.8944569028441717,False
"RouterBench replay n = 1,000,000",honest,MIDIAN,1,midian,0.8272232090493689,0.8229689761234708,0.8312750252098005,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN,5,midian,0.8144347730696043,0.8049493483424821,0.8238868660104384,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN,3,midian,0.7095282497436828,0.6943762103868596,0.7251610684736151,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN,1,midian,0.5014661766753441,0.4811055183092769,0.5212360396774831,False
"RouterBench replay n = 1,000,000",honest,flat probe argmax (online),5,flat_probe_argmax_online,0.9248853428743813,0.921526848964816,0.9283706241482462,False
"RouterBench replay n = 1,000,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.8946124863402963,0.8910470400108013,0.8982794047533661,False
"RouterBench replay n = 1,000,000",honest,flat probe argmax (online),1,flat_probe_argmax_online,0.8292484315073984,0.8247125660834306,0.8336283969942324,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,flat probe argmax (online),5,flat_probe_argmax_online,0.9248853428743813,0.921526848964816,0.9283706241482462,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.8946124863402963,0.8910470400108013,0.8982794047533661,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,flat probe argmax (online),1,flat_probe_argmax_online,0.8292484315073984,0.8247125660834306,0.8336283969942324,False
"RouterBench replay n = 1,000,000",honest,best learned router,5,cluster_head_router x100,0.9979832159688791,0.994605841079106,1.0012996232242386,True
"RouterBench replay n = 1,000,000",honest,best learned router,3,cluster_head_router x100,0.9979832159688791,0.994605841079106,1.0012996232242386,True
"RouterBench replay n = 1,000,000",honest,best learned router,1,cluster_head_router x100,0.9979832159688791,0.994605841079106,1.0012996232242386,True
"RouterBench replay n = 1,000,000",β=0.5 cartel,best learned router,5,flat_nsw_router x100,0.9336275531515416,0.9301461746501216,0.937091738358135,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,best learned router,3,flat_nsw_router x100,0.9022112897713607,0.8981338418891947,0.9062743923277822,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,best learned router,1,cluster_head_router x100,0.8619135820700303,0.8584366337427373,0.8654344102172474,True
"RouterBench replay n = 1,000,000",honest,best bandit,3,warm_start_bandit[n0=0.5] x100,0.9723557134478991,0.9692999481036745,0.9754654847243376,False
"RouterBench replay n = 1,000,000",honest,best bandit,1,warm_start_bandit[n0=0.5] x100,0.9663011421410816,0.9632082477184603,0.9694993059393866,False
"RouterBench replay n = 1,000,000",honest,best bandit,5,warm_start_bandit[n0=0.5] x59; ucb_per_family x41,0.9462219053124116,0.9379093164452283,0.9541540266063602,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,best bandit,5,warm_start_bandit[n0=0.5] x100,0.9281636717283163,0.925032276982925,0.9314588774360681,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,best bandit,3,warm_start_bandit[n0=0.5] x100,0.8955997822885856,0.8925027741328463,0.8989037428642555,False
"RouterBench replay n = 1,000,000",β=0.5 cartel,best bandit,1,warm_start_bandit[n0=0.5] x100,0.8493782988975193,0.8464584977068575,0.8523953529583017,False
"RouterBench replay n = 1,000,000",honest,declared argmax,-,declared_argmax,0.9976752133867203,0.9943207277299362,1.0010129276700235,True
"RouterBench replay n = 1,000,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.8504626367552559,0.8473687930096071,0.8539105779900513,True
"RouterBench replay n = 1,000,000",honest,random,-,random,0.2421490985650454,0.24016933813198538,0.24428465345490288,True
"RouterBench replay n = 1,000,000",β=0.5 cartel,random,-,random,0.2421490985650454,0.24016933813198538,0.24428465345490288,True
"RouterEval n = 5,000",honest,MIDIAN-VA,5,midian_va,0.8399014778325125,0.8128078817733991,0.8571428571428573,False
"RouterEval n = 5,000",honest,MIDIAN-VA,3,midian_va,0.7820197044334978,0.7241379310344829,0.8165024630541874,False
"RouterEval n = 5,000",honest,MIDIAN-VA,1,midian_va,0.6711822660098523,0.6059113300492611,0.7352216748768474,False
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN-VA,5,midian_va,0.8312807881773401,0.8128078817733991,0.8571428571428573,False
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.7869458128078819,0.7389162561576356,0.8128078817733991,False
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN-VA,1,midian_va,0.665024630541872,0.5911330049261085,0.7315270935960593,False
"RouterEval n = 5,000",honest,MIDIAN,5,midian,0.767241379310345,0.7167487684729065,0.7943349753694583,False
"RouterEval n = 5,000",honest,MIDIAN,3,midian,0.7130541871921184,0.6761083743842365,0.7426108374384238,False
"RouterEval n = 5,000",honest,MIDIAN,1,midian,0.6711822660098523,0.6059113300492611,0.7352216748768474,False
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN,5,midian,0.663793103448276,0.6059113300492611,0.7019704433497538,False
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN,3,midian,0.6637931034482759,0.6465517241379312,0.6908866995073892,False
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN,1,midian,0.6330049261083746,0.6022167487684731,0.6761083743842365,False
"RouterEval n = 5,000",honest,flat probe argmax (online),5,flat_probe_argmax_online,0.727832512315271,0.7167487684729065,0.7426108374384238,False
"RouterEval n = 5,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.6884236453201972,0.6502463054187193,0.7167487684729065,False
"RouterEval n = 5,000",honest,flat probe argmax (online),1,flat_probe_argmax_online,0.6330049261083746,0.5763546798029558,0.665024630541872,False
"RouterEval n = 5,000",β=0.5 cartel,flat probe argmax (online),5,flat_probe_argmax_online,0.727832512315271,0.7167487684729065,0.7426108374384238,False
"RouterEval n = 5,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.6884236453201972,0.6502463054187193,0.7167487684729065,False
"RouterEval n = 5,000",β=0.5 cartel,flat probe argmax (online),1,flat_probe_argmax_online,0.6330049261083746,0.5763546798029558,0.665024630541872,False
"RouterEval n = 5,000",honest,best learned router,5,"cluster_head_router x3 | INCOMPLETE POOL, missing knn_router, knn_router_online",0.9519704433497539,0.9273399014778326,0.9716748768472908,True
"RouterEval n = 5,000",honest,best learned router,3,"cluster_head_router x3 | INCOMPLETE POOL, missing knn_router_online",0.9519704433497539,0.9273399014778326,0.9716748768472908,True
"RouterEval n = 5,000",honest,best learned router,1,"cluster_head_router x3 | INCOMPLETE POOL, missing knn_router, knn_router_online",0.9519704433497539,0.9273399014778326,0.9716748768472908,True
"RouterEval n = 5,000",β=0.5 cartel,best learned router,5,"flat_nsw_router x3 | INCOMPLETE POOL, missing knn_router, knn_router_online",0.8177339901477834,0.7389162561576356,0.8645320197044336,False
"RouterEval n = 5,000",β=0.5 cartel,best learned router,3,"flat_nsw_router x3 | INCOMPLETE POOL, missing knn_router_online",0.7327586206896552,0.6687192118226603,0.7943349753694583,False
"RouterEval n = 5,000",β=0.5 cartel,best learned router,1,"flat_nsw_router x3 | INCOMPLETE POOL, missing knn_router, knn_router_online",0.6810344827586209,0.6317733990147784,0.705665024630542,False
"RouterEval n = 5,000",honest,best bandit,5,warm_start_bandit[n0=0.5] x3,0.8238916256157637,0.7795566502463057,0.8682266009852219,False
"RouterEval n = 5,000",honest,best bandit,1,warm_start_bandit[n0=0.5] x3,0.8201970443349754,0.7647783251231528,0.8608374384236456,False
"RouterEval n = 5,000",honest,best bandit,3,warm_start_bandit[n0=0.5] x3,0.785714285714286,0.7573891625615764,0.8165024630541874,False
"RouterEval n = 5,000",β=0.5 cartel,best bandit,5,linucb_honest x3,0.7733990147783252,0.7389162561576356,0.8386699507389165,False
"RouterEval n = 5,000",β=0.5 cartel,best bandit,1,linucb_honest x3,0.7401477832512318,0.6871921182266011,0.8017241379310346,False
"RouterEval n = 5,000",β=0.5 cartel,best bandit,3,thompson_per_family x2; ucb_per_family x1,0.6995073891625618,0.6465517241379312,0.746305418719212,False
"RouterEval n = 5,000",honest,declared argmax,-,declared_argmax,0.9581280788177342,0.9051724137931038,0.9864532019704436,True
"RouterEval n = 5,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.6810344827586209,0.6317733990147784,0.7167487684729065,True
"RouterEval n = 5,000",honest,random,-,random,0.6096059113300493,0.5911330049261085,0.620689655172414,True
"RouterEval n = 5,000",β=0.5 cartel,random,-,random,0.6096059113300493,0.5911330049261085,0.620689655172414,True
LLMRouterBench n = 20,honest,MIDIAN-VA,5,midian_va,0.9539310344827586,0.9219310344827588,0.9859310344827587,False
LLMRouterBench n = 20,honest,MIDIAN-VA,3,midian_va,0.9222068965517242,0.8946206896551724,0.9525517241379311,False
LLMRouterBench n = 20,honest,MIDIAN-VA,1,midian_va,0.8880000000000001,0.8755862068965518,0.9001379310344827,False
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN-VA,5,midian_va,0.9511724137931035,0.9202758620689656,0.9820689655172413,False
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9188965517241379,0.887448275862069,0.9522758620689655,False
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN-VA,1,midian_va,0.8849655172413794,0.8648275862068966,0.9006896551724141,False
LLMRouterBench n = 20,honest,MIDIAN,5,midian,0.955310344827586,0.9268965517241379,0.9837241379310344,False
LLMRouterBench n = 20,honest,MIDIAN,3,midian,0.929655172413793,0.901241379310345,0.9602758620689654,False
LLMRouterBench n = 20,honest,MIDIAN,1,midian,0.8880000000000001,0.8755862068965518,0.9001379310344827,False
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN,1,midian,0.8662068965517241,0.8424827586206897,0.8899310344827587,False
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN,5,midian,0.8496551724137931,0.832,0.8667586206896551,False
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN,3,midian,0.8350344827586208,0.811310344827586,0.8678620689655172,False
LLMRouterBench n = 20,honest,flat probe argmax (online),5,flat_probe_argmax_online,0.9721379310344828,0.9462068965517241,0.9980689655172414,False
LLMRouterBench n = 20,honest,flat probe argmax (online),3,flat_probe_argmax_online,0.9475862068965517,0.9078620689655175,0.9757241379310345,False
LLMRouterBench n = 20,honest,flat probe argmax (online),1,flat_probe_argmax_online,0.904,0.8951724137931035,0.9128275862068966,False
LLMRouterBench n = 20,β=0.5 cartel,flat probe argmax (online),5,flat_probe_argmax_online,0.9721379310344828,0.9462068965517241,0.9980689655172414,False
LLMRouterBench n = 20,β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.9475862068965517,0.9078620689655175,0.9757241379310345,False
LLMRouterBench n = 20,β=0.5 cartel,flat probe argmax (online),1,flat_probe_argmax_online,0.904,0.8951724137931035,0.9128275862068966,False
LLMRouterBench n = 20,honest,best learned router,5,cluster_head_router x5,0.9895172413793103,0.9713103448275862,1.0102068965517241,True
LLMRouterBench n = 20,honest,best learned router,3,cluster_head_router x5,0.9895172413793103,0.9713103448275862,1.0102068965517241,True
LLMRouterBench n = 20,honest,best learned router,1,cluster_head_router x5,0.9895172413793103,0.9713103448275862,1.0102068965517241,True
LLMRouterBench n = 20,β=0.5 cartel,best learned router,3,mlp_router x5,0.9475862068965518,0.9233103448275862,0.9644137931034482,False
LLMRouterBench n = 20,β=0.5 cartel,best learned router,5,knn_router_online x2; mlp_router x2; flat_nsw_router x1,0.9186206896551726,0.8995862068965519,0.9371034482758621,False
LLMRouterBench n = 20,β=0.5 cartel,best learned router,1,mlp_router x2; knn_router_online x2; disrouter_cascade x1,0.7961379310344828,0.7053517241379308,0.8598620689655172,False
LLMRouterBench n = 20,honest,best bandit,5,linucb_honest x5,0.9558620689655172,0.9266206896551724,0.9795862068965516,False
LLMRouterBench n = 20,honest,best bandit,3,linucb_honest x5,0.9365517241379311,0.9111724137931034,0.96,False
LLMRouterBench n = 20,honest,best bandit,1,linucb_honest x5,0.9012413793103449,0.88,0.9208758620689652,False
LLMRouterBench n = 20,β=0.5 cartel,best bandit,5,linucb_honest x5,0.9558620689655172,0.9266206896551724,0.9795862068965516,False
LLMRouterBench n = 20,β=0.5 cartel,best bandit,3,linucb_honest x5,0.9365517241379311,0.9111724137931034,0.96,False
LLMRouterBench n = 20,β=0.5 cartel,best bandit,1,linucb_honest x5,0.9012413793103449,0.88,0.9208758620689652,False
LLMRouterBench n = 20,honest,declared argmax,-,declared_argmax,0.9897931034482759,0.9702068965517242,1.0099310344827586,True
LLMRouterBench n = 20,β=0.5 cartel,declared argmax,-,declared_argmax,0.7837241379310346,0.7426206896551725,0.8270413793103448,True
LLMRouterBench n = 20,honest,random,-,random,0.6744827586206896,0.6502068965517241,0.7020689655172414,True
LLMRouterBench n = 20,β=0.5 cartel,random,-,random,0.6744827586206896,0.6502068965517241,0.7020689655172414,True
