group,regime,arm,b,chosen,value,ci_lo,ci_hi
"RouterBench replay n = 1,000,000",honest,MIDIAN-VA,1,midian_va,0.8272232090493689,0.8229689761234708,0.8312750252098005
"RouterBench replay n = 1,000,000",honest,MIDIAN-VA,3,midian_va,0.964174658560151,0.9606133259637736,0.9676641590474706
"RouterBench replay n = 1,000,000",honest,MIDIAN-VA,5,midian_va,0.9846036882756698,0.9766861333138844,0.9927010620965755
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN-VA,1,midian_va,0.8215989975148833,0.8156243803030238,0.8271303863533759
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9622422587981149,0.9585121576635683,0.9657907227934568
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN-VA,5,midian_va,0.983589067897391,0.9723169870958369,0.9940474432470583
"RouterBench replay n = 1,000,000",honest,MIDIAN,1,midian,0.8272232090493689,0.8229689761234708,0.8312750252098005
"RouterBench replay n = 1,000,000",honest,MIDIAN,3,midian,0.8907561252431321,0.8870346734961665,0.8944569028441717
"RouterBench replay n = 1,000,000",honest,MIDIAN,5,midian,0.9254317310167038,0.9115597482817255,0.9408846002928134
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN,1,midian,0.5014661766753441,0.4811055183092769,0.5212360396774831
"RouterBench replay n = 1,000,000",β=0.5 cartel,MIDIAN,3,midian,0.7095282497436828,0.6943762103868596,0.7251610684736151
"RouterBench replay n = 1,000,000",honest,flat probe argmax (online),1,flat_probe_argmax_online,0.8292484315073984,0.8247125660834306,0.8336283969942324
"RouterBench replay n = 1,000,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.8946124863402963,0.8910470400108013,0.8982794047533661
"RouterBench replay n = 1,000,000",honest,flat probe argmax (online),5,flat_probe_argmax_online,0.92601187286666,0.9155165793992683,0.9367181270067634
"RouterBench replay n = 1,000,000",β=0.5 cartel,flat probe argmax (online),1,flat_probe_argmax_online,0.8292484315073984,0.8247125660834306,0.8336283969942324
"RouterBench replay n = 1,000,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.8946124863402963,0.8910470400108013,0.8982794047533661
"RouterBench replay n = 1,000,000",honest,best learned router,1,cluster_head_router,0.9979832159688791,0.9946058410791059,1.0012996232242386
"RouterBench replay n = 1,000,000",honest,best learned router,3,cluster_head_router,0.9979832159688791,0.9946058410791059,1.0012996232242386
"RouterBench replay n = 1,000,000",honest,best learned router,5,cluster_head_router,0.9997426279792921,0.9890363738391889,1.010713901464489
"RouterBench replay n = 1,000,000",β=0.5 cartel,best learned router,1,cluster_head_router,0.8619135820700304,0.8584366337427373,0.8654344102172472
"RouterBench replay n = 1,000,000",β=0.5 cartel,best learned router,3,flat_nsw_router,0.9022112897713607,0.8981338418891947,0.9062743923277822
"RouterBench replay n = 1,000,000",honest,best bandit,1,warm_start_bandit,0.9937386872339259,0.9904551898435094,0.9970467615427133
"RouterBench replay n = 1,000,000",honest,best bandit,3,warm_start_bandit,0.9947892713840285,0.9914982848897309,0.9979789967554247
"RouterBench replay n = 1,000,000",honest,best bandit,5,warm_start_bandit,0.9962090367113762,0.9865048457666522,1.0065461096742343
"RouterBench replay n = 1,000,000",β=0.5 cartel,best bandit,1,warm_start_bandit,0.8718624873950999,0.8690227457797316,0.874841357574121
"RouterBench replay n = 1,000,000",β=0.5 cartel,best bandit,3,warm_start_bandit,0.8925661678149959,0.8896372953154075,0.8957437629477115
"RouterBench replay n = 1,000,000",honest,declared argmax,-,declared_argmax,0.9976752133867203,0.9943207277299362,1.0010129276700235
"RouterBench replay n = 1,000,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.8504626367552559,0.8473687930096071,0.8539105779900513
"RouterBench replay n = 1,000,000",honest,random,-,random,0.2421490985650454,0.24016933813198538,0.24428465345490288
"RouterBench replay n = 1,000,000",β=0.5 cartel,random,-,random,0.2421490985650454,0.24016933813198538,0.24428465345490288
"RouterEval n = 5,000",honest,MIDIAN-VA,1,midian_va,0.6711822660098523,0.6059113300492611,0.7352216748768474
"RouterEval n = 5,000",honest,MIDIAN-VA,3,midian_va,0.7820197044334978,0.7241379310344829,0.8165024630541874
"RouterEval n = 5,000",honest,MIDIAN-VA,5,midian_va,0.8399014778325125,0.8128078817733991,0.8571428571428573
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN-VA,1,midian_va,0.665024630541872,0.5911330049261085,0.7315270935960593
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN-VA,3,midian_va,0.7869458128078819,0.7389162561576356,0.8128078817733991
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN-VA,5,midian_va,0.8312807881773401,0.8128078817733991,0.8571428571428573
"RouterEval n = 5,000",honest,MIDIAN,3,midian,0.7130541871921184,0.6761083743842365,0.7426108374384238
"RouterEval n = 5,000",β=0.5 cartel,MIDIAN,3,midian,0.6637931034482759,0.6465517241379312,0.6908866995073892
"RouterEval n = 5,000",honest,flat probe argmax (online),3,flat_probe_argmax_online,0.6884236453201972,0.6502463054187193,0.7167487684729065
"RouterEval n = 5,000",β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.6884236453201972,0.6502463054187193,0.7167487684729065
"RouterEval n = 5,000",honest,best learned router,3,knn_router,0.6748768472906406,0.6428571428571429,0.7093596059113302
"RouterEval n = 5,000",β=0.5 cartel,best learned router,3,knn_router,0.6748768472906406,0.6428571428571429,0.7093596059113302
"RouterEval n = 5,000",honest,best bandit,3,warm_start_bandit,0.911330049261084,0.890394088669951,0.9236453201970446
"RouterEval n = 5,000",β=0.5 cartel,best bandit,3,warm_start_bandit,0.70320197044335,0.6687192118226603,0.7500000000000001
"RouterEval n = 5,000",honest,declared argmax,-,declared_argmax,0.9581280788177342,0.9051724137931038,0.9864532019704436
"RouterEval n = 5,000",β=0.5 cartel,declared argmax,-,declared_argmax,0.6810344827586209,0.6317733990147784,0.7167487684729065
"RouterEval n = 5,000",honest,random,-,random,0.6096059113300493,0.5911330049261085,0.620689655172414
"RouterEval n = 5,000",β=0.5 cartel,random,-,random,0.6096059113300493,0.5911330049261085,0.620689655172414
LLMRouterBench n = 20,honest,MIDIAN-VA,1,midian_va,0.8880000000000001,0.8755862068965518,0.9001379310344827
LLMRouterBench n = 20,honest,MIDIAN-VA,3,midian_va,0.9222068965517242,0.8946206896551724,0.9525517241379311
LLMRouterBench n = 20,honest,MIDIAN-VA,5,midian_va,0.9539310344827586,0.9219310344827588,0.9859310344827587
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN-VA,1,midian_va,0.8849655172413794,0.8648275862068966,0.9006896551724141
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN-VA,3,midian_va,0.9188965517241379,0.887448275862069,0.9522758620689655
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN-VA,5,midian_va,0.9511724137931035,0.9202758620689656,0.9820689655172413
LLMRouterBench n = 20,honest,MIDIAN,1,midian,0.8880000000000001,0.8755862068965518,0.9001379310344827
LLMRouterBench n = 20,honest,MIDIAN,3,midian,0.929655172413793,0.901241379310345,0.9602758620689654
LLMRouterBench n = 20,honest,MIDIAN,5,midian,0.955310344827586,0.9268965517241379,0.9837241379310344
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN,1,midian,0.8662068965517241,0.8424827586206897,0.8899310344827587
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN,3,midian,0.8350344827586208,0.811310344827586,0.8678620689655172
LLMRouterBench n = 20,β=0.5 cartel,MIDIAN,5,midian,0.8496551724137931,0.832,0.8667586206896551
LLMRouterBench n = 20,honest,flat probe argmax (online),1,flat_probe_argmax_online,0.904,0.8951724137931035,0.9128275862068966
LLMRouterBench n = 20,honest,flat probe argmax (online),3,flat_probe_argmax_online,0.9475862068965517,0.9078620689655175,0.9757241379310345
LLMRouterBench n = 20,honest,flat probe argmax (online),5,flat_probe_argmax_online,0.9721379310344828,0.9462068965517241,0.9980689655172414
LLMRouterBench n = 20,β=0.5 cartel,flat probe argmax (online),1,flat_probe_argmax_online,0.904,0.8951724137931035,0.9128275862068966
LLMRouterBench n = 20,β=0.5 cartel,flat probe argmax (online),3,flat_probe_argmax_online,0.9475862068965517,0.9078620689655175,0.9757241379310345
LLMRouterBench n = 20,β=0.5 cartel,flat probe argmax (online),5,flat_probe_argmax_online,0.9721379310344828,0.9462068965517241,0.9980689655172414
LLMRouterBench n = 20,honest,best learned router,1,cluster_head_router,0.9895172413793103,0.9713103448275862,1.0102068965517241
LLMRouterBench n = 20,honest,best learned router,3,mlp_router,0.9475862068965518,0.9233103448275862,0.9644137931034482
LLMRouterBench n = 20,honest,best learned router,5,cluster_head_router,0.9895172413793103,0.9713103448275862,1.0102068965517241
LLMRouterBench n = 20,β=0.5 cartel,best learned router,1,mlp_router,0.8573793103448275,0.7372827586206896,0.9285517241379311
LLMRouterBench n = 20,β=0.5 cartel,best learned router,3,mlp_router,0.9475862068965518,0.9233103448275862,0.9644137931034482
LLMRouterBench n = 20,β=0.5 cartel,best learned router,5,knn_router_online,0.9351724137931037,0.9108965517241381,0.9646896551724139
LLMRouterBench n = 20,honest,best bandit,1,warm_start_bandit,0.9310344827586208,0.904551724137931,0.957793103448276
LLMRouterBench n = 20,honest,best bandit,3,linucb_honest,0.9365517241379311,0.9111724137931034,0.96
LLMRouterBench n = 20,honest,best bandit,5,linucb_honest,0.9558620689655172,0.9266206896551724,0.9795862068965516
LLMRouterBench n = 20,β=0.5 cartel,best bandit,1,linucb_honest,0.9012413793103449,0.88,0.9208758620689652
LLMRouterBench n = 20,β=0.5 cartel,best bandit,3,linucb_honest,0.9365517241379311,0.9111724137931034,0.96
LLMRouterBench n = 20,β=0.5 cartel,best bandit,5,linucb_honest,0.9558620689655172,0.9266206896551724,0.9795862068965516
LLMRouterBench n = 20,honest,declared argmax,-,declared_argmax,0.9897931034482759,0.9702068965517242,1.0099310344827586
LLMRouterBench n = 20,β=0.5 cartel,declared argmax,-,declared_argmax,0.7837241379310346,0.7426206896551725,0.8270413793103448
LLMRouterBench n = 20,honest,random,-,random,0.6744827586206896,0.6502068965517241,0.7020689655172414
LLMRouterBench n = 20,β=0.5 cartel,random,-,random,0.6744827586206896,0.6502068965517241,0.7020689655172414
