group,regime,arm,chosen,value,ci_lo,ci_hi
"RouterBench replay
n = 1,000,000",honest,best bandit,warm_start_bandit,0.9947892713840285,0.9914982848897309,0.9979789967554247
"RouterBench replay
n = 1,000,000",β=0.5 cartel,best bandit,warm_start_bandit,0.8925661678149959,0.8896372953154075,0.8957437629477115
"RouterBench replay
n = 1,000,000",honest,declared argmax,declared_argmax,0.9976752133867203,0.9943207277299362,1.0010129276700235
"RouterBench replay
n = 1,000,000",β=0.5 cartel,declared argmax,declared_argmax,0.8504626367552559,0.8473687930096071,0.8539105779900513
"RouterBench replay
n = 1,000,000",honest,random,random,0.2421490985650454,0.24016933813198538,0.24428465345490288
"RouterBench replay
n = 1,000,000",β=0.5 cartel,random,random,0.2421490985650454,0.24016933813198538,0.24428465345490288
"RouterEval
n = 5,000",honest,"MIDIAN-VA, b = 1",midian_va b=1,0.6711822660098523,0.6059113300492611,0.7352216748768474
"RouterEval
n = 5,000",β=0.5 cartel,"MIDIAN-VA, b = 1",midian_va b=1,0.665024630541872,0.5911330049261085,0.7315270935960593
"RouterEval
n = 5,000",honest,"MIDIAN-VA, b = 3",midian_va,0.7820197044334978,0.7241379310344829,0.8165024630541874
"RouterEval
n = 5,000",β=0.5 cartel,"MIDIAN-VA, b = 3",midian_va,0.7869458128078819,0.7389162561576356,0.8128078817733991
"RouterEval
n = 5,000",honest,"MIDIAN-VA, b = 5",midian_va b=5,0.8399014778325125,0.8128078817733991,0.8571428571428573
"RouterEval
n = 5,000",β=0.5 cartel,"MIDIAN-VA, b = 5",midian_va b=5,0.8312807881773401,0.8128078817733991,0.8571428571428573
"RouterEval
n = 5,000",honest,MIDIAN,midian,0.7130541871921184,0.6761083743842365,0.7426108374384238
"RouterEval
n = 5,000",β=0.5 cartel,MIDIAN,midian,0.6637931034482759,0.6465517241379312,0.6908866995073892
"RouterEval
n = 5,000",honest,flat probe argmax (online),flat_probe_argmax_online,0.6884236453201972,0.6502463054187193,0.7167487684729065
"RouterEval
n = 5,000",β=0.5 cartel,flat probe argmax (online),flat_probe_argmax_online,0.6884236453201972,0.6502463054187193,0.7167487684729065
"RouterEval
n = 5,000",honest,best learned router,knn_router,0.6748768472906406,0.6428571428571429,0.7093596059113302
"RouterEval
n = 5,000",β=0.5 cartel,best learned router,knn_router,0.6748768472906406,0.6428571428571429,0.7093596059113302
"RouterEval
n = 5,000",honest,best bandit,warm_start_bandit,0.911330049261084,0.890394088669951,0.9236453201970446
"RouterEval
n = 5,000",β=0.5 cartel,best bandit,warm_start_bandit,0.70320197044335,0.6687192118226603,0.7500000000000001
"RouterEval
n = 5,000",honest,declared argmax,declared_argmax,0.9581280788177342,0.9051724137931038,0.9864532019704436
"RouterEval
n = 5,000",β=0.5 cartel,declared argmax,declared_argmax,0.6810344827586209,0.6317733990147784,0.7167487684729065
"RouterEval
n = 5,000",honest,random,random,0.6096059113300493,0.5911330049261085,0.620689655172414
"RouterEval
n = 5,000",β=0.5 cartel,random,random,0.6096059113300493,0.5911330049261085,0.620689655172414
"LLMRouterBench
n = 20",honest,"MIDIAN-VA, b = 1",midian_va b=1,0.8880000000000001,0.8755862068965518,0.9001379310344827
"LLMRouterBench
n = 20",β=0.5 cartel,"MIDIAN-VA, b = 1",midian_va b=1,0.8849655172413794,0.8648275862068966,0.9006896551724141
"LLMRouterBench
n = 20",honest,"MIDIAN-VA, b = 3",midian_va,0.9222068965517242,0.8946206896551724,0.9525517241379311
"LLMRouterBench
n = 20",β=0.5 cartel,"MIDIAN-VA, b = 3",midian_va,0.9188965517241379,0.887448275862069,0.9522758620689655
"LLMRouterBench
n = 20",honest,"MIDIAN-VA, b = 5",midian_va b=5,0.9539310344827586,0.9219310344827588,0.9859310344827587
"LLMRouterBench
n = 20",β=0.5 cartel,"MIDIAN-VA, b = 5",midian_va b=5,0.9511724137931035,0.9202758620689656,0.9820689655172413
"LLMRouterBench
n = 20",honest,MIDIAN,midian,0.929655172413793,0.901241379310345,0.9602758620689654
"LLMRouterBench
n = 20",β=0.5 cartel,MIDIAN,midian,0.8350344827586208,0.811310344827586,0.8678620689655172
"LLMRouterBench
n = 20",honest,flat probe argmax (online),flat_probe_argmax_online,0.9475862068965517,0.9078620689655175,0.9757241379310345
"LLMRouterBench
n = 20",β=0.5 cartel,flat probe argmax (online),flat_probe_argmax_online,0.9475862068965517,0.9078620689655175,0.9757241379310345
"LLMRouterBench
n = 20",honest,best learned router,mlp_router,0.9475862068965518,0.9233103448275862,0.9644137931034482
"LLMRouterBench
n = 20",β=0.5 cartel,best learned router,mlp_router,0.9475862068965518,0.9233103448275862,0.9644137931034482
"LLMRouterBench
n = 20",honest,best bandit,linucb_honest,0.9365517241379311,0.9111724137931034,0.96
"LLMRouterBench
n = 20",β=0.5 cartel,best bandit,linucb_honest,0.9365517241379311,0.9111724137931034,0.96
"LLMRouterBench
n = 20",honest,declared argmax,declared_argmax,0.9897931034482759,0.9702068965517242,1.0099310344827586
"LLMRouterBench
n = 20",β=0.5 cartel,declared argmax,declared_argmax,0.7837241379310346,0.7426206896551725,0.8270413793103448
"LLMRouterBench
n = 20",honest,random,random,0.6744827586206896,0.6502068965517241,0.7020689655172414
"LLMRouterBench
n = 20",β=0.5 cartel,random,random,0.6744827586206896,0.6502068965517241,0.7020689655172414
